drug	drugName	pubchem_cid	drugCategory_Pubchem	annotation_source	annotation_status	retrieved_at	pubchem_url	notes
Palbociclib	Palbociclib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
A-366	A-366		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Lestaurtinib	Lestaurtinib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dactinomycin	Dactinomycin		Breast Feeding; Lactation; Antineoplastic Agents; Antibiotics, Antineoplastic; Protein Synthesis Inhibitors; Nucleic Acid Synthesis Inhibitors;; Cytotoxic medicines	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Nilotinib	Nilotinib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
KU-55933	KU-55933			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dacarbazine	Dacarbazine		Cytotoxic	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
THR-103	THR-103			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
VE821	VE821			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
LMB_AB2	LMB_AB2			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
MIM1	MIM1			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
POMHEX	POMHEX			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
